product_key,product_name,total_quantity,initial_stock,reorder_point,current_stock,inventory_turnover,days_inventory_outstanding
22,"Hon Metal Bookcases, Putty",19,1305,326.25,1286,0.014559386973180077,25069.736842105263
23,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",27,885,221.25,858,0.030508474576271188,11963.888888888889
24,Bush Mission Pointe Library,6,1715,428.75,1709,0.003498542274052478,104329.16666666667
25,O'Sullivan 5-Shelf Heavy-Duty Bookcases,9,1455,363.75,1446,0.006185567010309278,59008.333333333336
26,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",15,776,194.0,761,0.019329896907216496,18882.666666666664
27,"O'Sullivan Elevations Bookcase, Cherry Finish",18,1684,421.0,1666,0.010688836104513063,34147.77777777778
28,"Sauder Camden County Collection Libraries, Planked Cherry Finish",19,959,239.75,940,0.01981230448383733,18422.894736842107
29,O'Sullivan Living Dimensions 5-Shelf Bookcases,21,1837,459.25,1816,0.011431682090364725,31928.809523809527
30,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",8,521,130.25,513,0.015355086372360844,23770.625
31,Sauder Cornerstone Collection Library,14,752,188.0,738,0.018617021276595744,19605.714285714286
32,"Bush Westfield Collection Bookcases, Fully Assembled",18,1247,311.75,1229,0.014434643143544507,25286.38888888889
33,"Bush Westfield Collection Bookcases, Dark Cherry Finish",14,1356,339.0,1342,0.01032448377581121,35352.857142857145
34,Hon 4-Shelf Metal Bookcases,22,974,243.5,952,0.022587268993839837,16159.545454545454
35,"Bush Cubix Collection Bookcases, Fully Assembled",4,1582,395.5,1578,0.0025284450063211127,144357.5
36,Sauder Camden County Collection Library,16,1010,252.5,994,0.015841584158415842,23040.625
37,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",14,1999,499.75,1985,0.007003501750875438,52116.78571428571
38,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,12,1199,299.75,1187,0.010008340283569641,36469.583333333336
39,"Sauder Facets Collection Library, Sky Alder Finish",10,1475,368.75,1465,0.006779661016949152,53837.5
40,"Bush Andora Bookcase, Maple/Graphite Gray Finish",34,689,172.25,655,0.04934687953555878,7396.617647058823
41,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",34,1457,364.25,1423,0.023335621139327384,15641.323529411766
42,O'Sullivan Living Dimensions 3-Shelf Bookcases,17,1186,296.5,1169,0.01433389544688027,25464.11764705882
43,Rush Hierlooms Collection Rich Wood Bookcases,4,1457,364.25,1453,0.002745367192862045,132951.25
44,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",17,1062,265.5,1045,0.0160075329566855,22801.764705882353
45,Bestar Classic Bookcase,31,1767,441.75,1736,0.017543859649122806,20805.0
46,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,9,1331,332.75,1322,0.0067618332081141996,53979.444444444445
47,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,31,1654,413.5,1623,0.018742442563482467,19474.516129032258
48,"Bush Westfield Collection Bookcases, Medium Cherry Finish",32,1146,286.5,1114,0.027923211169284468,13071.5625
49,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",24,520,130.0,496,0.046153846153846156,7908.333333333333
50,Hon Multipurpose Stacking Arm Chairs,36,1340,335.0,1304,0.026865671641791045,13586.111111111111
51,Global Comet Stacking Armless Chair,14,666,166.5,652,0.021021021021021023,17363.571428571428
52,"Global Geo Office Task Chair, Gray",25,1797,449.25,1772,0.013912075681691708,26236.2
53,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,10,887,221.75,877,0.011273957158962795,32375.5
54,Global Comet Stacking Arm Chair,17,1100,275.0,1083,0.015454545454545455,23617.647058823528
55,Global Highback Leather Tilter in Burgundy,34,815,203.75,781,0.04171779141104295,8749.264705882353
56,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",51,513,128.25,462,0.09941520467836257,3671.470588235294
57,High-Back Leather Manager's Chair,42,741,185.25,699,0.05668016194331984,6439.642857142857
58,"Metal Folding Chairs, Beige, 4/Carton",23,1276,319.0,1253,0.018025078369905956,20249.565217391304
59,Safco Contoured Stacking Chairs,27,1869,467.25,1842,0.014446227929373997,25266.11111111111
60,"Global Airflow Leather Mesh Back Chair, Black",32,1064,266.0,1032,0.03007518796992481,12136.25
61,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,13,1397,349.25,1384,0.009305654974946313,39223.46153846154
62,Global Ergonomic Managers Chair,39,1863,465.75,1824,0.020933977455716585,17435.76923076923
63,Global Executive Mid-Back Manager's Chair,18,591,147.75,573,0.030456852791878174,11984.166666666666
64,Novimex Swivel Fabric Task Chair,25,1890,472.5,1865,0.013227513227513227,27594.0
65,Hon Olson Stacker Stools,44,1455,363.75,1411,0.030240549828178694,12069.886363636364
66,"Global Value Mid-Back Manager's Chair, Gray",51,1978,494.5,1927,0.02578361981799798,14156.274509803921
67,Global Deluxe High-Back Office Chair in Storm,10,1951,487.75,1941,0.005125576627370579,71211.5
68,Global Troy Executive Leather Low-Back Tilter,32,1008,252.0,976,0.031746031746031744,11497.5
69,Harbour Creations Steel Folding Chair,34,1275,318.75,1241,0.02666666666666667,13687.5
70,Global Leather Executive Chair,21,534,133.5,513,0.03932584269662921,9281.428571428572
71,Office Star - Mesh Screen back chair with Vinyl seat,20,705,176.25,685,0.028368794326241134,12866.25
72,Hon Comfortask Task/Swivel Chairs,18,1604,401.0,1586,0.011221945137157107,32525.555555555555
73,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,32,1911,477.75,1879,0.01674515960230246,21797.34375
74,"Global Leather & Oak Executive Chair, Burgundy",13,1525,381.25,1512,0.008524590163934427,42817.30769230769
75,"Safco Chair Connectors, 6/Carton",26,1521,380.25,1495,0.017094017094017096,21352.499999999996
76,Hon Every-Day Chair Series Swivel Task Chairs,10,1913,478.25,1903,0.005227391531625719,69824.5
77,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,28,1065,266.25,1037,0.02629107981220657,13883.035714285716
78,Global Deluxe Office Fabric Chairs,17,1629,407.25,1612,0.010435850214855739,34975.58823529412
79,Office Star Flex Back Scooter Chair with White Frame,21,1202,300.5,1181,0.01747088186356073,20891.904761904763
80,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,12,901,225.25,889,0.013318534961154272,27405.416666666668
81,HON 5400 Series Task Chairs for Big and Tall,39,1229,307.25,1190,0.03173311635475997,11502.179487179486
82,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",7,661,165.25,654,0.01059001512859304,34466.42857142857
83,Hon Olson Stacker Chairs,22,701,175.25,679,0.03138373751783167,11630.227272727274
84,Hon Mobius Operator's Chair,23,1495,373.75,1472,0.015384615384615385,23725.0
85,Hon Deluxe Fabric Upholstered Stacking Chairs,15,769,192.25,754,0.01950585175552666,18712.333333333332
86,"Global Stack Chair without Arms, Black",44,1315,328.75,1271,0.033460076045627375,10908.522727272728
87,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,1,1794,448.5,1793,0.0005574136008918618,654810.0
88,Hon Pagoda Stacking Chairs,22,955,238.75,933,0.023036649214659685,15844.318181818182
89,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,24,1985,496.25,1961,0.012090680100755667,30188.541666666668
90,Hon GuestStacker Chair,34,1775,443.75,1741,0.01915492957746479,19055.147058823528
91,Office Star - Ergonomically Designed Knee Chair,19,1516,379.0,1497,0.012532981530343008,29123.157894736843
92,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",31,795,198.75,764,0.0389937106918239,9360.483870967742
93,DMI Arturo Collection Mission-style Design Wood Chair,37,1219,304.75,1182,0.030352748154224774,12025.27027027027
94,"Situations Contoured Folding Chairs, 4/Set",64,837,209.25,773,0.07646356033452807,4773.515625
95,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",7,1378,344.5,1371,0.0050798258345428155,71852.85714285714
96,"Global Deluxe Stacking Chair, Gray",19,1576,394.0,1557,0.012055837563451776,30275.78947368421
97,Office Star - Task Chair with Contemporary Loop Arms,8,1291,322.75,1283,0.006196746707978312,58901.875
98,"Global High-Back Leather Tilter, Burgundy",54,716,179.0,662,0.07541899441340782,4839.62962962963
99,"Leather Task Chair, Black",19,1263,315.75,1244,0.015043547110055424,24262.894736842103
100,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",39,687,171.75,648,0.056768558951965066,6429.615384615385
101,"Global Leather Task Chair, Black",19,879,219.75,860,0.02161547212741752,16886.052631578947
102,Office Star - Contemporary Task Swivel Chair,20,992,248.0,972,0.020161290322580645,18104.0
103,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",35,1564,391.0,1529,0.02237851662404092,16310.285714285714
104,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,24,1680,420.0,1656,0.014285714285714285,25550.0
105,Global Commerce Series High-Back Swivel/Tilt Chairs,33,514,128.5,481,0.06420233463035019,5685.151515151516
106,Global Deluxe Steno Chair,29,564,141.0,535,0.051418439716312055,7098.620689655173
107,"Global Armless Task Chair, Royal Blue",28,1020,255.0,992,0.027450980392156862,13296.428571428572
108,SAFCO Folding Chair Trolley,6,1867,466.75,1861,0.0032137118371719335,113575.83333333334
109,Hon 4070 Series Pagoda Round Back Stacking Chairs,21,1652,413.0,1631,0.012711864406779662,28713.333333333332
110,Global Italian Leather Office Chair,8,1147,286.75,1139,0.006974716652136007,52331.875
111,"Global Wood Trimmed Manager's Task Chair, Khaki",59,1995,498.75,1936,0.02957393483709273,12341.949152542373
112,"Global Value Steno Chair, Gray",43,1586,396.5,1543,0.02711223203026482,13462.558139534884
113,Novimex Fabric Task Chair,39,1662,415.5,1623,0.023465703971119134,15554.615384615385
114,Hon Valutask Swivel Chairs,13,1092,273.0,1079,0.011904761904761904,30660.0
115,Novimex High-Tech Fabric Mesh Task Chair,16,891,222.75,875,0.017957351290684626,20325.9375
116,Novimex Turbo Task Chair,22,918,229.5,896,0.023965141612200435,15230.454545454546
117,GuestStacker Chair with Chrome Finish Legs,31,788,197.0,757,0.03934010152284264,9278.064516129032
118,Global Commerce Series Low-Back Swivel/Tilt Chairs,24,878,219.5,854,0.02733485193621868,13352.916666666666
119,Global Deluxe High-Back Manager's Chair,35,730,182.5,695,0.04794520547945205,7612.857142857143
120,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,34,1517,379.25,1483,0.02241265655899802,16285.44117647059
121,"Global Fabric Manager's Chair, Dark Gray",35,540,135.0,505,0.06481481481481481,5631.428571428572
122,SAFCO Arco Folding Chair,53,1551,387.75,1498,0.03417150225660864,10681.415094339623
123,Global Super Steno Chair,30,634,158.5,604,0.0473186119873817,7713.666666666667
124,"Global Push Button Manager's Chair, Indigo",44,700,175.0,656,0.06285714285714286,5806.818181818181
125,"Global Leather and Oak Executive Chair, Black",26,1279,319.75,1253,0.020328381548084442,17955.19230769231
126,Global Chrome Stack Chair,32,1429,357.25,1397,0.02239328201539538,16299.531250000002
127,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,20,1556,389.0,1536,0.012853470437017995,28397.0
128,"Lifetime Advantage Folding Chairs, 4/Carton",27,1571,392.75,1544,0.01718650541056652,21237.59259259259
129,"Padded Folding Chairs, Black, 4/Carton",30,1002,250.5,972,0.029940119760479042,12191.0
130,"Global Stack Chair with Arms, Black",31,906,226.5,875,0.03421633554083885,10667.419354838708
131,"Global Manager's Adjustable Task Chair, Storm",23,1304,326.0,1281,0.01763803680981595,20693.913043478264
132,Global Low Back Tilter Chair,21,598,149.5,577,0.03511705685618729,10393.809523809525
133,Harbour Creations 67200 Series Stacking Chairs,24,1183,295.75,1159,0.02028740490278952,17991.458333333332
134,Bevis Steel Folding Chairs,24,1225,306.25,1201,0.019591836734693877,18630.208333333336
135,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,31,1460,365.0,1429,0.021232876712328767,17190.322580645163
136,Hon Every-Day Series Multi-Task Chairs,43,1112,278.0,1069,0.03866906474820144,9439.06976744186
137,"DAX Value U-Channel Document Frames, Easel Back",36,1985,496.25,1949,0.0181360201511335,20125.694444444445
138,Eldon Wave Desk Accessories,45,1142,285.5,1097,0.03940455341506129,9262.88888888889
139,Deflect-O Glasstique Clear Desk Accessories,17,1528,382.0,1511,0.01112565445026178,32807.05882352941
140,24-Hour Round Wall Clock,27,1741,435.25,1714,0.015508328546812177,23535.74074074074
141,"Executive Impressions 14"" Two-Color Numerals Wall Clock",16,1002,250.5,986,0.015968063872255488,22858.125000000004
142,DAX Wood Document Frame.,16,1266,316.5,1250,0.01263823064770932,28880.625
143,Tenex Chairmats For Use with Hard Floors,20,897,224.25,877,0.022296544035674472,16370.249999999998
144,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",20,1370,342.5,1350,0.014598540145985401,25002.5
145,"Master Caster Door Stop, Brown",38,1294,323.5,1256,0.02936630602782071,12429.21052631579
146,"Seth Thomas 16"" Steel Case Clock",19,892,223.0,873,0.021300448430493273,17135.78947368421
147,Aluminum Document Frame,22,706,176.5,684,0.031161473087818695,11713.181818181818
148,"6"" Cubicle Wall Clock, Black",19,1538,384.5,1519,0.01235370611183355,29545.78947368421
149,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,18,1391,347.75,1373,0.012940330697340043,28206.388888888887
150,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,14,1984,496.0,1970,0.007056451612903226,51725.71428571429
151,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",7,1363,340.75,1356,0.005135730007336757,71070.71428571429
152,Deflect-o Glass Clear Studded Chair Mats,26,1242,310.5,1216,0.020933977455716585,17435.76923076923
153,OIC Stacking Trays,30,1764,441.0,1734,0.017006802721088437,21461.999999999996
154,Luxo Economy Swing Arm Lamp,17,1063,265.75,1046,0.01599247412982126,22823.235294117647
155,"GE 4 Foot Flourescent Tube, 40 Watt",7,1520,380.0,1513,0.004605263157894736,79257.14285714287
156,Tenex Chairmats For Use With Carpeted Floors,11,595,148.75,584,0.018487394957983194,19743.181818181816
157,"Seth Thomas 14"" Putty-Colored Wall Clock",13,984,246.0,971,0.013211382113821139,27627.692307692305
158,Stacking Trays by OIC,19,1930,482.5,1911,0.009844559585492229,37076.31578947368
159,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,23,730,182.5,707,0.031506849315068496,11584.782608695652
160,9-3/4 Diameter Round Wall Clock,34,1248,312.0,1214,0.027243589743589744,13397.64705882353
161,"Executive Impressions 10"" Spectator Wall Clock",22,1694,423.5,1672,0.012987012987012988,28104.999999999996
162,"DAX Cubicle Frames, 8-1/2 x 11",17,1040,260.0,1023,0.016346153846153847,22329.41176470588
163,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",33,1559,389.75,1526,0.021167415009621552,17243.484848484848
164,Eldon 200 Class Desk Accessories,22,1024,256.0,1002,0.021484375,16989.090909090908
165,Tenex B1-RE Series Chair Mats for Low Pile Carpets,23,1683,420.75,1660,0.013666072489601902,26708.478260869564
166,Eldon Expressions Mahogany Wood Desk Collection,15,1766,441.5,1751,0.008493771234428085,42972.66666666667
167,DAX Natural Wood-Tone Poster Frame,23,1609,402.25,1586,0.014294592914853946,25534.130434782608
168,"Eldon 200 Class Desk Accessories, Smoke",22,1077,269.25,1055,0.02042711234911792,17868.409090909092
169,"Eldon Stackable Tray, Side-Load, Legal, Smoke",17,1181,295.25,1164,0.014394580863674851,25356.764705882353
170,Tensor Brushed Steel Torchiere Floor Lamp,10,1056,264.0,1046,0.00946969696969697,38544.0
171,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",24,1512,378.0,1488,0.015873015873015872,22995.0
172,"Eldon Imàge Series Desk Accessories, Clear",17,1145,286.25,1128,0.014847161572052401,24583.823529411766
173,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",23,1295,323.75,1272,0.01776061776061776,20551.08695652174
174,Tensor Track Tree Floor Lamp,17,1551,387.75,1534,0.01096067053513862,33300.882352941175
175,3M Polarizing Light Filter Sleeves,14,1863,465.75,1849,0.007514761137949544,48571.07142857143
176,DAX Black Cherry Wood-Tone Poster Frame,24,1854,463.5,1830,0.012944983818770227,28196.25
177,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",28,1871,467.75,1843,0.014965259219668627,24389.821428571428
178,DAX Cubicle Frames - 8x10,26,1996,499.0,1970,0.013026052104208416,28020.769230769234
179,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",17,1754,438.5,1737,0.009692132269099202,37659.41176470588
180,Executive Impressions Supervisor Wall Clock,21,689,172.25,668,0.030478955007256895,11975.47619047619
181,"Executive Impressions 16-1/2"" Circular Wall Clock",4,1748,437.0,1744,0.002288329519450801,159505.0
182,Dax Clear Box Frame,14,1908,477.0,1894,0.007337526205450734,49744.28571428571
183,Tenex Antistatic Computer Chair Mats,25,1900,475.0,1875,0.013157894736842105,27740.0
184,DAX Wood Document Frame,57,1806,451.5,1749,0.03156146179401993,11564.736842105263
185,"Contract Clock, 14"", Brown",21,1132,283.0,1111,0.018551236749116608,19675.238095238095
186,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",23,1127,281.75,1104,0.02040816326530612,17885.0
187,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",25,1472,368.0,1447,0.016983695652173912,21491.2
188,Dana Swing-Arm Lamps,15,1782,445.5,1767,0.008417508417508417,43362.0
189,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",18,1882,470.5,1864,0.009564293304994687,38162.777777777774
190,Advantus Panel Wall Certificate Holder - 8.5x11,23,1209,302.25,1186,0.01902398676592225,19186.304347826088
191,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",17,1979,494.75,1962,0.008590197069226882,42490.29411764706
192,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",7,1934,483.5,1927,0.0036194415718717684,100844.28571428571
193,Longer-Life Soft White Bulbs,44,1148,287.0,1104,0.03832752613240418,9523.181818181818
194,Acrylic Self-Standing Desk Frames,37,817,204.25,780,0.04528763769889841,8059.594594594594
195,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",20,1748,437.0,1728,0.011441647597254004,31901.0
196,Eldon Image Series Black Desk Accessories,12,1757,439.25,1745,0.006829823562891292,53442.08333333333
197,"Eldon Regeneration Recycled Desk Accessories, Smoke",21,1183,295.75,1162,0.01775147928994083,20561.666666666668
198,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",24,1163,290.75,1139,0.02063628546861565,17687.291666666664
199,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",13,1897,474.25,1884,0.006852925672113864,53261.92307692308
200,"Computer Room Manger, 14""",22,1995,498.75,1973,0.011027568922305764,33098.86363636364
201,Ultra Door Pull Handle,27,1756,439.0,1729,0.015375854214123007,23738.51851851852
202,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,31,1636,409.0,1605,0.018948655256723717,19262.580645161288
203,Magnifier Swing Arm Lamp,12,941,235.25,929,0.012752391073326248,28622.083333333336
204,3M Hangers With Command Adhesive,33,1063,265.75,1030,0.031044214487300093,11757.424242424242
205,Staple-based wall hangings,38,1791,447.75,1753,0.02121719709659408,17203.026315789473
206,Telescoping Adjustable Floor Lamp,10,1909,477.25,1899,0.005238344683080147,69678.5
207,Dana Halogen Swing-Arm Architect Lamp,28,1910,477.5,1882,0.014659685863874346,24898.214285714286
208,"Dana Fluorescent Magnifying Lamp, White, 36""",14,1636,409.0,1622,0.008557457212713936,42652.857142857145
209,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",8,1451,362.75,1443,0.005513439007580979,66201.875
210,"Executive Impressions 14""",17,1604,401.0,1587,0.01059850374064838,34438.82352941176
211,Nu-Dell Float Frame 11 x 14 1/2,22,1198,299.5,1176,0.018363939899833055,19875.909090909092
212,Eldon Pizzaz Desk Accessories,19,612,153.0,593,0.03104575163398693,11756.842105263158
213,"Master Caster Door Stop, Large Brown",10,501,125.25,491,0.01996007984031936,18286.5
214,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",15,1141,285.25,1126,0.013146362839614373,27764.333333333336
215,Artistic Insta-Plaque,10,719,179.75,709,0.013908205841446454,26243.5
216,G.E. Halogen Desk Lamp Bulbs,11,1354,338.5,1343,0.00812407680945347,44928.18181818182
217,Nu-Dell EZ-Mount Plastic Wall Frames,8,1748,437.0,1740,0.004576659038901602,79752.5
218,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",27,884,221.0,857,0.030542986425339366,11950.37037037037
219,Ultra Door Push Plate,34,1926,481.5,1892,0.017653167185877467,20676.176470588234
220,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",24,1653,413.25,1629,0.014519056261343012,25139.375
221,"Eldon Expressions Wood Desk Accessories, Oak",33,1576,394.0,1543,0.020939086294416244,17431.515151515152
222,Eldon Econocleat Chair Mats for Low Pile Carpets,8,1229,307.25,1221,0.006509357200976403,56073.125
223,"DAX Copper Panel Document Frame, 5 x 7 Size",18,1939,484.75,1921,0.009283135636926251,39318.61111111111
224,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",25,746,186.5,721,0.03351206434316354,10891.6
225,"Master Caster Door Stop, Large Neon Orange",27,1335,333.75,1308,0.020224719101123594,18047.222222222223
226,Nu-Dell Executive Frame,39,1962,490.5,1923,0.019877675840978593,18362.30769230769
227,Eldon 100 Class Desk Accessories,18,702,175.5,684,0.02564102564102564,14235.0
228,"Tensor ""Hersey Kiss"" Styled Floor Lamp",8,1707,426.75,1699,0.0046865846514352666,77881.875
229,Document Clip Frames,6,622,155.5,616,0.00964630225080386,37838.33333333333
230,"Electrix Incandescent Magnifying Lamp, Black",5,900,225.0,895,0.005555555555555556,65700.0
231,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",7,1266,316.5,1259,0.005529225908372828,66012.85714285714
232,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",28,793,198.25,765,0.03530895334174023,10337.321428571428
233,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,13,779,194.75,766,0.01668806161745828,21871.923076923078
234,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",3,1383,345.75,1380,0.0021691973969631237,168265.0
235,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",4,697,174.25,693,0.005738880918220947,63601.25
236,12-1/2 Diameter Round Wall Clock,36,1481,370.25,1445,0.024307900067521943,15015.694444444445
237,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",15,1251,312.75,1236,0.011990407673860911,30441.0
238,Ultra Commercial Grade Dual Valve Door Closer,2,643,160.75,641,0.003110419906687403,117347.5
239,"Seth Thomas 14"" Day/Date Wall Clock",17,1108,277.0,1091,0.015342960288808664,23789.411764705885
240,Magna Visual Magnetic Picture Hangers,19,1724,431.0,1705,0.011020881670533642,33118.94736842105
241,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,18,1647,411.75,1629,0.01092896174863388,33397.5
242,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",29,686,171.5,657,0.04227405247813411,8634.137931034484
243,"Eldon 200 Class Desk Accessories, Burgundy",25,1849,462.25,1824,0.01352082206598161,26995.4
244,"Master Caster Door Stop, Gray",10,963,240.75,953,0.010384215991692628,35149.5
245,"Eldon Regeneration Recycled Desk Accessories, Black",9,1872,468.0,1863,0.004807692307692308,75920.0
246,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",14,1159,289.75,1145,0.012079378774805867,30216.785714285714
247,"Linden 12"" Wall Clock With Oak Frame",3,1263,315.75,1260,0.0023752969121140144,153665.0
248,"Master Giant Foot Doorstop, Safety Yellow",12,1454,363.5,1442,0.008253094910591471,44225.833333333336
249,"Master Big Foot Doorstop, Beige",30,902,225.5,872,0.03325942350332594,10974.333333333334
250,Luxo Adjustable Task Clamp Lamp,18,1869,467.25,1851,0.009630818619582664,37899.16666666667
251,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",15,646,161.5,631,0.02321981424148607,15719.333333333332
252,36X48 HARDFLOOR CHAIRMAT,21,1671,417.75,1650,0.012567324955116697,29043.571428571428
253,Eldon Radial Chair Mat for Low to Medium Pile Carpets,20,1363,340.75,1343,0.014673514306676448,24874.75
254,Regeneration Desk Collection,21,988,247.0,967,0.02125506072874494,17172.380952380954
255,Coloredge Poster Frame,21,1428,357.0,1407,0.014705882352941176,24820.0
256,Electrix Fluorescent Magnifier Lamps & Weighted Base,11,1050,262.5,1039,0.010476190476190476,34840.909090909096
257,"Tenex ""The Solids"" Textured Chair Mats",26,837,209.25,811,0.03106332138590203,11750.192307692309
258,Nu-Dell Oak Frame,16,1371,342.75,1355,0.011670313639679067,31275.9375
259,"Seth Thomas 8 1/2"" Cubicle Clock",11,1140,285.0,1129,0.009649122807017544,37827.27272727273
260,Contemporary Borderless Frame,6,972,243.0,966,0.006172839506172839,59130.0
