order_key,order_id,order_date,date_key,customer_key,location_key,product_key,sales,quantity,discount,profit,lead_time_days
37,CA-2016-117590,2016-12-08,894,301,540,266,190.92,5,0.6,-147.963,2
38,CA-2015-117415,2015-12-27,591,705,522,876,113.328,9,0.2,35.415,4
39,CA-2015-117415,2015-12-27,591,705,522,21,532.3992,3,0.32,-46.9764,4
40,CA-2015-117415,2015-12-27,591,705,522,121,212.058,3,0.3,-15.147,4
41,CA-2015-117415,2015-12-27,591,705,522,1697,371.168,4,0.2,41.7564,4
42,CA-2017-120999,2017-09-10,1131,453,212,1831,147.168,4,0.2,16.5564,5
43,CA-2016-101343,2016-07-17,763,618,64,1395,77.88,2,0.0,3.894,5
44,CA-2017-139619,2017-09-19,1140,279,159,1388,95.616,2,0.2,9.5616,4
45,CA-2016-118255,2016-03-11,650,580,316,1463,45.98,2,0.0,19.7714,2
46,CA-2016-118255,2016-03-11,650,580,316,768,17.46,2,0.0,8.2062,2
47,CA-2014-146703,2014-10-20,239,604,312,1353,211.96,4,0.0,8.4784,5
48,CA-2016-169194,2016-06-20,741,462,138,1521,45.0,3,0.0,4.95,5
49,CA-2016-169194,2016-06-20,741,462,138,1826,21.8,2,0.0,6.104,5
50,CA-2015-115742,2015-04-18,380,230,237,823,38.22,6,0.0,17.9634,4
51,CA-2015-115742,2015-04-18,380,230,237,981,75.18,6,0.0,35.3346,4
52,CA-2015-115742,2015-04-18,380,230,237,193,6.16,2,0.0,2.9568,4
53,CA-2015-115742,2015-04-18,380,230,237,101,89.99,1,0.0,17.0981,4
54,CA-2016-105816,2016-12-11,897,391,390,905,15.26,7,0.0,6.2566,6
55,CA-2016-105816,2016-12-11,897,391,390,1770,1029.95,5,0.0,298.6855,6
56,CA-2016-111682,2016-06-17,738,732,395,1307,208.56,6,0.0,52.14,1
57,CA-2016-111682,2016-06-17,738,732,395,1111,32.4,5,0.0,15.552,1
58,CA-2016-111682,2016-06-17,738,732,395,116,319.41,5,0.1,7.098,1
59,CA-2016-111682,2016-06-17,738,732,395,1062,14.56,2,0.0,6.9888,1
60,CA-2016-111682,2016-06-17,738,732,395,1521,30.0,2,0.0,3.3,1
61,CA-2016-111682,2016-06-17,738,732,395,693,48.48,4,0.2,16.362,1
62,CA-2016-111682,2016-06-17,738,732,395,532,1.68,1,0.0,0.84,1
63,CA-2015-135545,2015-11-24,559,439,64,1589,13.98,2,0.0,6.1512,6
64,CA-2015-135545,2015-11-24,559,439,64,678,25.824,6,0.2,9.3612,6
65,CA-2015-135545,2015-11-24,559,439,64,1238,146.73,3,0.0,68.9631,6
66,CA-2015-135545,2015-11-24,559,439,64,154,79.76,4,0.0,22.3328,6
67,US-2015-164175,2015-04-30,391,610,202,66,213.115,5,0.3,-15.2225,5
68,CA-2014-106376,2014-12-05,282,107,12,558,1113.024,8,0.2,111.3024,5
69,CA-2014-106376,2014-12-05,282,107,12,1786,167.968,4,0.2,62.988,5
70,CA-2016-119823,2016-06-04,726,423,569,1051,75.88,2,0.0,35.6636,2
71,CA-2016-106075,2016-09-18,820,330,390,833,4.616,1,0.2,1.731,5
72,CA-2017-114440,2017-09-14,1135,739,299,1277,19.05,3,0.0,8.763,3
73,US-2015-134026,2015-04-26,387,357,491,57,831.936,8,0.2,-114.3912,6
74,US-2015-134026,2015-04-26,387,357,491,268,97.04,2,0.2,1.213,6
75,US-2015-134026,2015-04-26,387,357,491,1407,72.784,1,0.2,-18.196,6
76,US-2017-118038,2017-12-09,1217,419,522,810,1.248,3,0.8,-1.9344,2
77,US-2017-118038,2017-12-09,1217,419,522,148,9.708,3,0.6,-5.8248,2
78,US-2017-118038,2017-12-09,1217,419,522,1308,27.24,3,0.2,2.724,2
79,US-2014-147606,2014-11-26,273,357,522,251,19.3,5,0.6,-14.475,5
80,CA-2016-127208,2016-06-12,733,680,2,417,208.16,1,0.0,56.2032,3
81,CA-2016-127208,2016-06-12,733,680,2,733,16.74,3,0.0,8.0352,3
82,CA-2014-139451,2014-10-12,231,227,91,543,14.9,5,0.0,4.172,4
83,CA-2014-139451,2014-10-12,231,227,91,1369,21.39,1,0.0,6.2031,4
84,CA-2015-149734,2015-09-03,488,348,405,851,200.984,7,0.2,62.8075,5
85,US-2017-119662,2017-11-13,1191,178,202,1399,230.376,3,0.2,-48.9549,3
86,CA-2017-140088,2017-05-28,1038,604,471,64,301.96,2,0.0,33.2156,2
87,CA-2017-155558,2017-10-26,1173,593,321,1514,19.99,1,0.0,6.7966,7
88,CA-2017-155558,2017-10-26,1173,593,321,946,6.16,2,0.0,2.9568,7
89,CA-2016-159695,2016-04-05,673,305,522,1392,158.368,7,0.2,13.8572,5
90,CA-2016-109806,2016-09-17,819,407,64,633,20.1,3,0.0,6.633,5
91,CA-2016-109806,2016-09-17,819,407,64,1831,73.584,2,0.2,8.2782,5
92,CA-2016-109806,2016-09-17,819,407,64,1039,6.48,1,0.0,3.1104,5
93,CA-2015-149587,2015-01-31,323,416,319,1208,12.96,2,0.0,6.2208,5
94,CA-2015-149587,2015-01-31,323,416,319,273,53.34,3,0.0,16.5354,5
95,CA-2015-149587,2015-01-31,323,416,319,753,32.96,2,0.0,16.1504,5
96,US-2017-109484,2017-11-06,1184,627,454,837,5.682,1,0.7,-3.788,6
97,CA-2017-161018,2017-11-09,1187,602,390,160,96.53,7,0.0,40.5426,2
98,CA-2017-157833,2017-06-17,1055,424,91,709,51.312,3,0.2,17.9592,3
99,CA-2016-149223,2016-09-06,809,277,324,386,77.88,6,0.0,22.5852,5
100,CA-2016-158568,2016-08-29,801,624,202,1211,64.624,7,0.2,22.6184,4
101,CA-2016-158568,2016-08-29,801,624,202,1507,95.976,3,0.2,-10.7973,4
102,CA-2016-158568,2016-08-29,801,624,202,744,1.788,3,0.8,-3.0396,4
103,CA-2016-129903,2016-12-01,888,315,321,1247,23.92,4,0.0,11.7208,3
104,US-2015-156867,2015-11-13,549,451,113,1501,238.896,6,0.2,-26.8758,4
105,US-2015-156867,2015-11-13,549,451,113,284,102.36,3,0.2,-3.8385,4
106,US-2015-156867,2015-11-13,549,451,113,748,36.882,3,0.7,-25.8174,4
107,CA-2017-119004,2017-11-23,1201,390,403,1563,74.112,8,0.2,17.6016,5
108,CA-2017-119004,2017-11-23,1201,390,403,1792,27.992,1,0.2,2.0994,5
109,CA-2017-119004,2017-11-23,1201,390,403,483,3.304,1,0.2,1.0738,5
110,CA-2015-129476,2015-10-15,523,582,215,1478,339.96,5,0.2,67.992,5
111,CA-2017-146780,2017-12-25,1232,184,390,203,41.96,2,0.0,10.9096,5
112,CA-2016-128867,2016-11-03,860,153,249,482,75.96,2,0.0,22.788,7
113,CA-2016-128867,2016-11-03,860,153,249,798,27.24,6,0.0,13.3476,7
114,CA-2014-115259,2014-08-25,186,630,423,909,40.096,14,0.2,14.5348,2
115,CA-2014-115259,2014-08-25,186,630,423,872,4.72,2,0.2,1.652,2
116,CA-2014-115259,2014-08-25,186,630,423,1286,23.976,3,0.2,7.4925,2
117,CA-2014-115259,2014-08-25,186,630,423,870,130.464,6,0.2,44.0316,2
118,CA-2015-110457,2015-03-02,342,214,587,333,787.53,3,0.0,165.3813,4
119,US-2015-136476,2015-04-05,369,298,481,780,157.794,1,0.7,-115.7156,5
120,CA-2016-103730,2016-06-12,733,679,140,215,47.04,3,0.0,18.3456,3
121,CA-2016-103730,2016-06-12,733,679,140,795,30.84,4,0.0,13.878,3
122,CA-2016-103730,2016-06-12,733,679,140,1318,226.56,6,0.0,63.4368,3
123,CA-2016-103730,2016-06-12,733,679,140,869,115.02,9,0.0,51.759,3
124,CA-2016-103730,2016-06-12,733,679,140,1822,68.04,7,0.0,19.7316,3
125,US-2014-152030,2014-12-26,300,16,522,119,600.558,3,0.3,-8.5794,2
126,US-2014-134614,2014-09-20,209,590,197,370,617.7,6,0.5,-407.682,5
127,US-2017-107272,2017-11-05,1183,768,16,767,2.388,2,0.7,-1.8308,7
128,US-2017-107272,2017-11-05,1183,768,16,1383,243.992,7,0.2,30.499,7
129,US-2016-125969,2016-11-06,863,473,64,66,81.424,2,0.2,-9.1602,4
130,US-2016-125969,2016-11-06,863,473,64,271,238.56,3,0.0,26.2416,4
131,US-2017-164147,2017-02-02,939,243,423,1763,59.97,5,0.4,-11.994,3
132,US-2017-164147,2017-02-02,939,243,423,1169,78.304,2,0.2,29.364,3
133,US-2017-164147,2017-02-02,939,243,423,926,21.456,9,0.2,6.9732,3
134,CA-2016-145583,2016-10-13,842,452,85,1130,20.04,3,0.0,9.6192,6
135,CA-2016-145583,2016-10-13,842,452,85,1122,35.44,1,0.0,16.6568,6
136,CA-2016-145583,2016-10-13,842,452,85,507,11.52,4,0.0,3.456,6
137,CA-2016-145583,2016-10-13,842,452,85,930,4.02,2,0.0,1.9698,6
138,CA-2016-145583,2016-10-13,842,452,85,838,76.176,3,0.2,26.6616,6
139,CA-2016-145583,2016-10-13,842,452,85,1431,65.88,6,0.0,18.4464,6
140,CA-2016-145583,2016-10-13,842,452,85,193,43.12,14,0.0,20.6976,6
141,CA-2016-110366,2016-09-05,808,350,464,311,82.8,2,0.2,10.35,2
142,CA-2017-106180,2017-09-18,1139,692,91,501,8.82,3,0.0,2.3814,5
143,CA-2017-106180,2017-09-18,1139,692,91,892,10.86,3,0.0,5.1042,5
144,CA-2017-106180,2017-09-18,1139,692,91,1260,143.7,3,0.0,68.976,5
145,CA-2017-155376,2017-12-22,1229,688,332,397,839.43,3,0.0,218.2518,5
146,CA-2015-110744,2015-09-07,492,318,76,1399,671.93,7,0.0,20.1579,5
147,CA-2014-110072,2014-10-22,241,504,438,157,93.888,4,0.2,12.9096,6
148,CA-2016-114489,2016-12-05,892,358,593,1689,384.45,11,0.0,103.8015,4
149,CA-2016-114489,2016-12-05,892,358,593,1724,149.97,3,0.0,5.9988,4
150,CA-2016-114489,2016-12-05,892,358,593,56,1951.84,8,0.0,585.552,4
151,CA-2016-114489,2016-12-05,892,358,593,746,171.55,5,0.0,80.6285,4
152,CA-2016-158834,2016-03-13,652,774,17,385,157.92,5,0.2,17.766,3
153,CA-2016-158834,2016-03-13,652,774,17,1716,203.184,2,0.2,15.2388,3
154,CA-2015-124919,2015-05-31,418,709,93,1142,58.38,7,0.0,26.271,2
155,CA-2015-124919,2015-05-31,418,709,93,1163,105.52,4,0.0,48.5392,2
156,CA-2015-124919,2015-05-31,418,709,93,1351,80.88,6,0.0,21.0288,2
157,CA-2015-118948,2015-05-28,415,567,587,523,6.63,3,0.0,1.7901,6
158,CA-2014-104269,2014-03-01,43,191,587,119,457.568,2,0.2,51.4764,5
159,CA-2016-114104,2016-11-20,877,572,444,980,14.62,2,0.0,6.8714,4
160,CA-2016-114104,2016-11-20,877,572,444,1845,944.93,7,0.0,236.2325,4
161,CA-2016-162733,2016-05-11,704,770,64,1187,5.98,1,0.0,2.691,1
162,CA-2015-119697,2015-12-28,592,270,464,1568,54.384,2,0.2,1.3596,3
163,CA-2016-154508,2016-11-16,873,636,375,866,28.4,5,0.0,13.348,4
164,CA-2016-113817,2016-11-07,864,517,587,802,27.68,2,0.2,9.688,4
165,CA-2014-139892,2014-09-08,198,91,543,619,9.936,3,0.2,2.7324,4
166,CA-2014-139892,2014-09-08,198,91,543,1625,8159.952,8,0.4,-1359.992,4
167,CA-2014-139892,2014-09-08,198,91,543,1326,275.928,3,0.2,-58.6347,4
168,CA-2014-139892,2014-09-08,198,91,543,122,1740.06,9,0.3,-24.858,4
169,CA-2014-139892,2014-09-08,198,91,543,557,32.064,6,0.2,6.8136,4
170,CA-2014-139892,2014-09-08,198,91,543,429,177.98,5,0.8,-453.849,4
171,CA-2014-139892,2014-09-08,198,91,543,1824,143.976,3,0.2,8.9985,4
172,CA-2014-118962,2014-08-05,172,174,64,1065,20.94,3,0.0,9.8418,4
173,CA-2014-118962,2014-08-05,172,174,64,1086,110.96,2,0.0,53.2608,4
174,CA-2014-118962,2014-08-05,172,174,64,112,340.144,7,0.2,21.259,4
175,US-2014-100853,2014-09-14,204,341,202,394,52.448,2,0.8,-131.12,5
176,US-2014-100853,2014-09-14,204,341,202,986,20.16,4,0.2,6.552,5
177,US-2017-152366,2017-04-21,1004,697,522,434,97.264,4,0.8,-243.16,4
178,US-2015-101511,2015-11-21,556,357,438,129,396.802,7,0.3,-11.3372,2
179,US-2015-101511,2015-11-21,556,357,438,1436,15.88,5,0.2,-3.7715,2
180,CA-2015-137225,2015-12-15,579,380,390,536,3.28,1,0.0,1.4104,4
181,CA-2014-166191,2014-12-05,282,215,204,1393,24.816,2,0.2,1.8612,4
182,CA-2014-166191,2014-12-05,282,215,204,1590,408.744,7,0.2,76.6395,4
183,CA-2014-158274,2014-11-19,266,650,268,1805,503.96,4,0.0,131.0296,5
184,CA-2014-158274,2014-11-19,266,650,268,1855,149.95,5,0.0,41.986,5
185,CA-2014-158274,2014-11-19,266,650,268,1528,29.0,2,0.0,7.25,5
186,CA-2016-105018,2016-11-28,885,698,130,715,7.16,2,0.0,3.4368,4
187,CA-2014-123260,2014-08-26,187,288,64,1525,176.8,8,0.0,22.984,4
188,CA-2016-157000,2016-07-16,762,41,518,1337,37.224,3,0.2,3.7224,6
189,CA-2016-157000,2016-07-16,762,41,518,1142,20.016,3,0.2,6.255,6
190,CA-2015-102281,2015-10-12,521,533,390,23,899.136,4,0.2,112.392,2
191,CA-2015-102281,2015-10-12,521,533,390,1731,71.76,6,0.0,20.0928,2
192,CA-2015-102281,2015-10-12,521,533,390,1018,51.84,8,0.0,24.8832,2
193,CA-2015-102281,2015-10-12,521,533,390,21,626.352,3,0.2,46.9764,2
194,CA-2015-102281,2015-10-12,521,533,390,586,19.9,5,0.0,6.567,2
195,CA-2015-131457,2015-10-31,537,552,81,861,14.28,7,0.0,6.7116,6
196,CA-2014-140004,2014-03-21,57,126,429,626,7.408,2,0.2,1.2038,4
197,CA-2014-140004,2014-03-21,57,126,429,610,6.048,3,0.2,1.5876,4
198,CA-2017-107720,2017-11-06,1184,781,373,1339,46.26,3,0.0,12.0276,7
199,US-2017-124303,2017-07-06,1071,286,464,654,2.946,2,0.7,-2.2586,7
200,US-2017-124303,2017-07-06,1071,286,464,1186,16.056,3,0.2,5.8203,7
201,CA-2017-105074,2017-06-24,1061,485,419,1181,21.744,3,0.2,6.795,5
202,CA-2014-133690,2014-08-03,170,109,117,368,218.75,2,0.5,-161.875,2
203,CA-2014-133690,2014-08-03,170,109,117,451,2.6,1,0.2,0.2925,2
204,US-2017-116701,2017-12-17,1224,456,511,445,66.284,2,0.8,-178.9668,4
205,CA-2017-126382,2017-06-03,1043,327,485,243,35.168,7,0.2,9.6712,4
206,CA-2017-108329,2017-12-09,1217,459,109,1747,444.768,4,0.2,44.4768,5
207,CA-2017-135860,2017-12-01,1209,372,308,1311,83.92,4,0.0,5.8744,6
208,CA-2017-135860,2017-12-01,1209,372,308,1738,131.98,2,0.0,35.6346,6
209,CA-2017-135860,2017-12-01,1209,372,308,767,15.92,4,0.0,7.4824,6
210,CA-2017-135860,2017-12-01,1209,372,308,903,52.29,9,0.0,16.2099,6
211,CA-2017-135860,2017-12-01,1209,372,308,1347,91.99,1,0.0,3.6796,6
212,CA-2015-101007,2015-02-09,328,542,511,1491,20.8,2,0.2,6.5,4
213,CA-2015-146262,2015-01-02,306,787,436,1008,23.68,2,0.2,8.88,7
214,CA-2015-146262,2015-01-02,306,787,436,47,452.45,5,0.5,-244.323,7
215,CA-2015-146262,2015-01-02,306,787,436,1792,62.982,3,0.4,-14.6958,7
216,CA-2015-146262,2015-01-02,306,787,436,1626,1188.0,9,0.7,-950.4,7
217,CA-2015-146262,2015-01-02,306,787,436,1461,89.584,2,0.2,4.4792,7
218,CA-2016-130162,2016-10-28,855,371,64,1337,93.06,6,0.0,26.0568,4
219,CA-2016-130162,2016-10-28,855,371,64,1777,302.376,3,0.2,22.6782,4
220,CA-2015-169397,2015-12-24,588,342,425,907,5.584,2,0.2,1.8148,3
221,CA-2015-169397,2015-12-24,588,342,425,1244,22.704,6,0.2,8.2302,3
222,CA-2015-169397,2015-12-24,588,342,425,753,19.776,4,0.7,-13.8432,3
223,CA-2015-169397,2015-12-24,588,342,425,141,72.704,4,0.2,19.0848,3
224,CA-2015-169397,2015-12-24,588,342,425,1633,479.988,4,0.7,-383.9904,3
225,CA-2015-169397,2015-12-24,588,342,425,540,27.168,2,0.2,2.7168,3
226,CA-2015-163055,2015-08-09,471,237,296,503,2.2,1,0.0,0.968,7
227,CA-2015-163055,2015-08-09,471,237,296,359,622.45,5,0.0,136.939,7
228,CA-2015-163055,2015-08-09,471,237,296,1372,21.98,1,0.0,0.2198,7
229,US-2015-145436,2015-02-28,340,777,484,132,161.568,2,0.2,-28.2744,4
230,US-2015-145436,2015-02-28,340,777,484,124,389.696,8,0.2,43.8408,4
231,US-2014-156216,2014-09-13,203,246,403,707,18.648,7,0.7,-12.432,4
232,US-2017-100930,2017-04-07,992,178,176,332,233.86,2,0.45,-102.048,5
233,US-2017-100930,2017-04-07,992,178,176,356,620.6145,3,0.45,-248.2458,5
234,US-2017-100930,2017-04-07,992,178,176,707,5.328,2,0.7,-3.552,5
235,US-2017-100930,2017-04-07,992,178,176,285,258.072,3,0.2,0.0,5
236,US-2017-100930,2017-04-07,992,178,176,1570,617.976,3,0.2,-7.7247,5
237,CA-2017-160514,2017-11-12,1190,192,98,1172,10.56,2,0.0,4.752,4
238,CA-2016-157749,2016-06-04,726,435,202,1215,25.92,5,0.2,9.396,5
239,CA-2016-157749,2016-06-04,726,435,202,159,419.68,5,0.6,-356.728,5
240,CA-2016-157749,2016-06-04,726,435,202,298,11.688,3,0.6,-4.6752,5
241,CA-2016-157749,2016-06-04,726,435,202,1680,31.984,2,0.2,11.1944,5
242,CA-2016-157749,2016-06-04,726,435,202,345,177.225,5,0.5,-120.513,5
243,CA-2016-157749,2016-06-04,726,435,202,227,4.044,3,0.6,-2.8308,5
244,CA-2016-157749,2016-06-04,726,435,202,626,7.408,2,0.2,1.2038,5
245,CA-2014-131926,2014-06-01,119,241,317,119,2001.86,7,0.0,580.5394,5
246,CA-2014-131926,2014-06-01,119,241,317,1363,166.72,2,0.0,41.68,5
247,CA-2014-131926,2014-06-01,119,241,317,1250,47.88,6,0.0,23.94,5
248,CA-2014-131926,2014-06-01,119,241,317,440,1503.25,5,0.0,496.0725,5
249,CA-2014-131926,2014-06-01,119,241,317,1018,25.92,4,0.0,12.4416,5
250,CA-2016-154739,2016-12-10,896,464,91,100,321.568,2,0.2,28.1372,5
251,CA-2016-145625,2016-09-11,813,421,90,1272,7.61,1,0.0,3.5767,6
252,CA-2016-145625,2016-09-11,813,421,90,1570,3347.37,13,0.0,636.0003,6
253,CA-2016-146941,2016-12-10,896,220,390,1332,80.58,6,0.0,22.5624,3
254,CA-2016-146941,2016-12-10,896,220,390,885,361.92,4,0.0,162.864,3
255,US-2015-159982,2015-11-28,563,234,202,227,12.132,9,0.6,-8.4924,6
256,US-2015-159982,2015-11-28,563,234,202,1416,82.368,2,0.2,-19.5624,6
257,US-2015-159982,2015-11-28,563,234,202,1351,53.92,5,0.2,4.044,6
258,US-2015-159982,2015-11-28,563,234,202,1734,647.904,6,0.2,56.6916,6
259,CA-2017-163139,2017-12-01,1209,137,390,1465,20.37,3,0.0,6.9258,2
260,CA-2017-163139,2017-12-01,1209,137,390,1381,221.55,3,0.0,6.6465,2
261,CA-2017-163139,2017-12-01,1209,137,390,775,17.52,5,0.2,6.132,2
262,US-2017-155299,2017-06-08,1047,244,535,419,1.624,2,0.8,-4.466,4
263,US-2014-106992,2014-09-19,208,667,522,1625,3059.982,3,0.4,-509.997,2
264,US-2014-106992,2014-09-19,208,667,522,1660,2519.958,7,0.4,-251.9958,2
265,CA-2016-125318,2016-06-06,728,629,202,1723,328.224,4,0.2,28.7196,7
266,CA-2015-155040,2015-11-10,546,32,35,1583,79.9,2,0.0,35.156,5
267,CA-2017-136826,2017-06-16,1054,128,402,589,14.016,3,0.2,4.7304,4
268,CA-2016-111010,2016-01-22,610,593,365,935,7.56,6,0.0,0.3024,6
269,US-2017-145366,2017-12-09,1217,124,421,1408,37.208,1,0.2,-7.4416,4
270,US-2017-145366,2017-12-09,1217,124,421,895,57.576,3,0.2,21.591,4
271,CA-2017-163979,2017-12-28,1235,433,91,1386,725.84,4,0.0,210.4936,5
272,CA-2015-155334,2015-07-30,463,318,91,1567,209.93,7,0.0,92.3692,1
273,CA-2015-155334,2015-07-30,463,318,91,254,5.28,3,0.0,2.3232,1
274,CA-2015-155334,2015-07-30,463,318,91,742,10.92,3,0.2,4.095,1
275,CA-2017-118136,2017-09-16,1137,65,54,1179,8.82,2,0.0,4.0572,1
276,CA-2017-118136,2017-09-16,1137,65,54,518,5.98,1,0.0,1.5548,1
277,CA-2017-132976,2017-10-13,1162,23,464,1066,11.648,2,0.2,4.0768,4
278,CA-2017-132976,2017-10-13,1162,23,464,1268,18.176,4,0.2,5.9072,4
279,CA-2017-132976,2017-10-13,1162,23,464,1320,59.712,6,0.2,5.9712,4
280,CA-2017-132976,2017-10-13,1162,23,464,973,24.84,3,0.2,8.694,4
281,US-2015-161991,2015-09-26,509,679,522,844,2.08,5,0.8,-3.432,2
282,US-2015-161991,2015-09-26,509,679,522,1740,1114.4,7,0.2,376.11,2
283,CA-2015-130890,2015-11-02,539,398,64,350,1038.84,5,0.2,51.942,4
284,CA-2015-130883,2015-09-26,509,739,454,1049,141.76,5,0.2,47.844,6
285,CA-2015-130883,2015-09-26,509,739,454,1512,239.8,5,0.2,47.96,6
286,CA-2015-130883,2015-09-26,509,739,454,1252,31.104,6,0.2,10.8864,6
287,CA-2016-112697,2016-12-18,904,31,175,666,254.058,7,0.7,-169.372,2
288,CA-2016-112697,2016-12-18,904,31,175,434,194.528,2,0.2,24.316,2
289,CA-2016-112697,2016-12-18,904,31,175,1425,961.48,5,0.2,-204.3145,2
290,CA-2016-110772,2016-11-20,877,579,423,929,19.096,7,0.2,6.6836,4
291,CA-2016-110772,2016-11-20,877,579,423,1012,18.496,8,0.2,6.2424,4
292,CA-2016-110772,2016-11-20,877,579,423,1515,255.984,2,0.2,54.3966,4
293,CA-2016-110772,2016-11-20,877,579,423,48,86.97,3,0.5,-48.7032,4
294,CA-2014-111451,2014-12-26,300,434,115,291,300.416,8,0.2,78.8592,2
295,CA-2014-111451,2014-12-26,300,434,115,78,230.352,3,0.2,20.1558,2
296,CA-2014-111451,2014-12-26,300,434,115,241,218.352,3,0.2,-24.5646,2
297,CA-2014-111451,2014-12-26,300,434,115,830,78.6,5,0.7,-62.88,2
298,CA-2014-111451,2014-12-26,300,434,115,942,27.552,3,0.2,9.2988,2
299,CA-2016-142545,2016-10-28,855,350,358,1152,32.4,5,0.0,15.552,6
300,CA-2016-142545,2016-10-28,855,350,358,1380,1082.48,8,0.0,10.8248,6
301,CA-2016-142545,2016-10-28,855,350,358,1256,56.91,3,0.0,27.3168,6
302,CA-2016-142545,2016-10-28,855,350,358,198,77.6,4,0.0,38.024,6
303,CA-2016-142545,2016-10-28,855,350,358,745,14.28,1,0.0,6.5688,6
304,US-2017-152380,2017-11-19,1197,371,202,344,219.075,3,0.5,-131.445,4
305,CA-2015-144253,2015-05-04,395,55,390,233,26.8,2,0.0,12.864,5
306,CA-2014-130960,2014-12-30,304,419,310,591,9.84,3,0.0,2.8536,5
307,CA-2014-111003,2014-06-01,119,168,363,677,45.48,3,0.0,20.9208,5
308,CA-2014-111003,2014-06-01,119,168,363,545,289.2,6,0.0,83.868,5
309,CA-2017-126774,2017-04-15,1000,693,561,561,4.89,1,0.0,2.0049,2
310,CA-2016-142902,2016-09-12,814,102,112,202,15.136,4,0.2,3.5948,2
311,CA-2016-142902,2016-09-12,814,102,112,120,466.768,2,0.2,52.5114,2
312,CA-2016-142902,2016-09-12,814,102,112,195,15.232,1,0.2,1.7136,2
313,CA-2016-142902,2016-09-12,814,102,112,956,6.264,3,0.2,2.0358,2
314,CA-2014-120887,2014-09-27,216,763,362,189,87.54,3,0.0,37.6422,6
315,CA-2014-167850,2014-08-09,175,24,172,1768,178.384,2,0.2,22.298,7
316,CA-2014-167850,2014-08-09,175,24,172,1140,15.552,3,0.2,5.4432,7
317,CA-2014-164259,2014-12-28,302,710,464,578,99.136,4,0.2,8.6744,2
318,CA-2014-164973,2014-11-04,252,569,390,93,135.882,1,0.1,24.1568,5
319,CA-2014-164973,2014-11-04,252,569,390,1648,3991.98,2,0.0,1995.99,5
320,CA-2014-164973,2014-11-04,252,569,390,1831,275.94,6,0.0,80.0226,5
