product_key,product_id,category,sub_category,product_name,product_price,rating_rate,rating_count
18,FUR-BO-10002206,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",114.0,4.8,400
19,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,114.0,4.8,400
20,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,39.99,3.8,679
21,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",109.0,2.9,470
22,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",29.95,2.9,340
23,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",56.99,2.6,235
24,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,56.99,2.6,235
25,FUR-BO-10002853,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,7.95,4.5,146
26,FUR-BO-10002916,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",114.0,4.8,400
27,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",12.99,3.6,145
28,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",55.99,4.7,500
29,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,695.0,4.6,400
30,FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",7.95,4.5,146
31,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,9.99,3.0,400
32,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",64.0,3.3,203
33,FUR-BO-10003450,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",9.99,3.0,400
34,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,9.85,4.7,130
35,FUR-BO-10003660,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",15.99,2.1,430
36,FUR-BO-10003893,Furniture,Bookcases,Sauder Camden County Collection Library,999.99,2.2,140
37,FUR-BO-10003894,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",9.85,4.7,130
38,FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,64.0,3.3,203
39,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",22.3,4.1,259
40,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",12.99,3.6,145
41,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",56.99,2.6,235
42,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,9.99,3.0,400
43,FUR-BO-10004360,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,114.0,4.8,400
44,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",10.99,1.9,100
45,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,56.99,2.6,235
46,FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,55.99,4.7,500
47,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,999.99,2.2,140
48,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",39.99,3.8,679
49,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15.99,2.1,430
50,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,9.85,4.7,130
51,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,10.99,1.9,100
52,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",15.99,2.1,430
53,FUR-CH-10000229,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,22.3,4.1,259
54,FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,168.0,3.9,70
55,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,109.0,2.9,470
56,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",15.99,2.1,430
57,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,9.85,4.7,130
58,FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",114.0,4.8,400
59,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,22.3,4.1,259
60,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",109.0,2.9,470
61,FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,15.99,2.1,430
62,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,999.99,2.2,140
63,FUR-CH-10000847,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,29.95,2.9,340
64,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,56.99,2.6,235
65,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,10.99,1.9,100
66,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",999.99,2.2,140
67,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,10.99,1.9,100
68,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,29.95,2.9,340
69,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,599.0,2.9,250
70,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,9.85,4.7,130
71,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,56.99,2.6,235
72,FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,599.0,2.9,250
73,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,64.0,3.3,203
74,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",56.99,2.6,235
75,FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",599.0,2.9,250
76,FUR-CH-10001802,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,109.95,3.9,120
77,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,9.99,3.0,400
78,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,64.0,3.3,203
79,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,109.95,3.9,120
80,FUR-CH-10002017,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,114.0,4.8,400
81,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,10.99,1.9,100
82,FUR-CH-10002044,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",109.0,4.8,319
83,FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,7.95,4.5,146
84,FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,39.99,3.8,679
85,FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,10.99,1.9,100
86,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",55.99,4.7,500
87,FUR-CH-10002317,Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,55.99,4.7,500
88,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,109.95,3.9,120
89,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,695.0,4.6,400
90,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,109.0,2.9,470
91,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,9.99,3.0,400
92,FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",64.0,3.3,203
93,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,9.99,3.0,400
94,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",64.0,3.3,203
95,FUR-CH-10002758,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",10.99,1.9,100
96,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",114.0,4.8,400
97,FUR-CH-10002780,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,22.3,4.1,259
98,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",109.95,3.9,120
99,FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",29.95,2.9,340
100,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",695.0,4.6,400
101,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",55.99,4.7,500
102,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,114.0,4.8,400
103,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",10.99,1.9,100
104,FUR-CH-10003312,Furniture,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,55.99,4.7,500
105,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,109.95,3.9,120
106,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,55.99,4.7,500
107,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",695.0,4.6,400
108,FUR-CH-10003606,Furniture,Chairs,SAFCO Folding Chair Trolley,56.99,2.6,235
109,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,999.99,2.2,140
110,FUR-CH-10003761,Furniture,Chairs,Global Italian Leather Office Chair,55.99,4.7,500
111,FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",109.95,3.9,120
112,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",695.0,4.6,400
113,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,999.99,2.2,140
114,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,9.99,3.0,400
115,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,64.0,3.3,203
116,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,56.99,2.6,235
117,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,56.99,2.6,235
118,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,109.0,2.9,470
119,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,599.0,2.9,250
120,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,7.95,4.5,146
121,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",9.99,3.0,400
122,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,39.99,3.8,679
123,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,12.99,3.6,145
124,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",15.99,2.1,430
125,FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",695.0,4.6,400
126,FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,9.99,3.0,400
127,FUR-CH-10004626,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,599.0,2.9,250
128,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",56.99,2.6,235
129,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",109.0,4.8,319
130,FUR-CH-10004754,Furniture,Chairs,"Global Stack Chair with Arms, Black",15.99,2.1,430
131,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",599.0,2.9,250
132,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,9.99,3.0,400
133,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,7.95,4.5,146
134,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,22.3,4.1,259
135,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,109.0,2.9,470
136,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,599.0,2.9,250
137,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",168.0,3.9,70
138,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,114.0,4.8,400
139,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,114.0,4.8,400
140,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,12.99,3.6,145
141,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",109.0,4.8,319
142,FUR-FU-10000175,Furniture,Furnishings,DAX Wood Document Frame.,9.99,3.0,400
143,FUR-FU-10000193,Furniture,Furnishings,Tenex Chairmats For Use with Hard Floors,109.95,3.9,120
144,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",109.95,3.9,120
145,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",12.99,3.6,145
146,FUR-FU-10000222,Furniture,Furnishings,"Seth Thomas 16"" Steel Case Clock",599.0,2.9,250
147,FUR-FU-10000246,Furniture,Furnishings,Aluminum Document Frame,64.0,3.3,203
148,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",55.99,4.7,500
149,FUR-FU-10000277,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,9.99,3.0,400
150,FUR-FU-10000293,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,168.0,3.9,70
151,FUR-FU-10000305,Furniture,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",10.99,1.9,100
152,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,64.0,3.3,203
153,FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,695.0,4.6,400
154,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,109.95,3.9,120
155,FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",7.95,4.5,146
156,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,109.0,2.9,470
157,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",114.0,4.8,400
158,FUR-FU-10000550,Furniture,Furnishings,Stacking Trays by OIC,56.99,2.6,235
159,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,64.0,3.3,203
160,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,12.99,3.6,145
161,FUR-FU-10000672,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",39.99,3.8,679
162,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",39.99,3.8,679
163,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",12.99,3.6,145
164,FUR-FU-10000732,Furniture,Furnishings,Eldon 200 Class Desk Accessories,114.0,4.8,400
165,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,9.99,3.0,400
166,FUR-FU-10000755,Furniture,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,22.3,4.1,259
167,FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,55.99,4.7,500
168,FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",39.99,3.8,679
169,FUR-FU-10000794,Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",695.0,4.6,400
170,FUR-FU-10000820,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,39.99,3.8,679
171,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",39.99,3.8,679
172,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",39.99,3.8,679
173,FUR-FU-10001037,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",22.3,4.1,259
174,FUR-FU-10001057,Furniture,Furnishings,Tensor Track Tree Floor Lamp,22.3,4.1,259
175,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,695.0,4.6,400
176,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,109.95,3.9,120
177,FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",109.95,3.9,120
178,FUR-FU-10001196,Furniture,Furnishings,DAX Cubicle Frames - 8x10,7.95,4.5,146
179,FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",22.3,4.1,259
180,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,114.0,4.8,400
181,FUR-FU-10001379,Furniture,Furnishings,"Executive Impressions 16-1/2"" Circular Wall Clock",168.0,3.9,70
182,FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame,15.99,2.1,430
183,FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,109.0,4.8,319
184,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,39.99,3.8,679
185,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",168.0,3.9,70
186,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",695.0,4.6,400
187,FUR-FU-10001488,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",12.99,3.6,145
188,FUR-FU-10001546,Furniture,Furnishings,Dana Swing-Arm Lamps,22.3,4.1,259
189,FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",168.0,3.9,70
190,FUR-FU-10001591,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,109.0,4.8,319
191,FUR-FU-10001602,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",29.95,2.9,340
192,FUR-FU-10001617,Furniture,Furnishings,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",29.95,2.9,340
193,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,109.95,3.9,120
194,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,64.0,3.3,203
195,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",168.0,3.9,70
196,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,29.95,2.9,340
197,FUR-FU-10001852,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",55.99,4.7,500
198,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",12.99,3.6,145
199,FUR-FU-10001867,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",15.99,2.1,430
200,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",7.95,4.5,146
201,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,55.99,4.7,500
202,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,7.95,4.5,146
203,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,12.99,3.6,145
204,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,9.99,3.0,400
205,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,12.99,3.6,145
206,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,64.0,3.3,203
207,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,109.95,3.9,120
208,FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",10.99,1.9,100
209,FUR-FU-10002030,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",9.99,3.0,400
210,FUR-FU-10002045,Furniture,Furnishings,"Executive Impressions 14""",9.85,4.7,130
211,FUR-FU-10002088,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,10.99,1.9,100
212,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,109.95,3.9,120
213,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",109.0,4.8,319
214,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",9.85,4.7,130
215,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,109.0,2.9,470
216,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,55.99,4.7,500
217,FUR-FU-10002240,Furniture,Furnishings,Nu-Dell EZ-Mount Plastic Wall Frames,9.99,3.0,400
218,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",29.95,2.9,340
219,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,29.95,2.9,340
220,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",12.99,3.6,145
221,FUR-FU-10002364,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",39.99,3.8,679
222,FUR-FU-10002379,Furniture,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,22.3,4.1,259
223,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",109.95,3.9,120
224,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",29.95,2.9,340
225,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",114.0,4.8,400
226,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame,695.0,4.6,400
227,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,695.0,4.6,400
228,FUR-FU-10002506,Furniture,Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",64.0,3.3,203
229,FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames,64.0,3.3,203
230,FUR-FU-10002553,Furniture,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",55.99,4.7,500
231,FUR-FU-10002554,Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",7.95,4.5,146
232,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",29.95,2.9,340
233,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,29.95,2.9,340
234,FUR-FU-10002685,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",55.99,4.7,500
235,FUR-FU-10002703,Furniture,Furnishings,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",12.99,3.6,145
236,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,109.95,3.9,120
237,FUR-FU-10002813,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",12.99,3.6,145
238,FUR-FU-10002874,Furniture,Furnishings,Ultra Commercial Grade Dual Valve Door Closer,109.0,4.8,319
239,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",39.99,3.8,679
240,FUR-FU-10002885,Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,10.99,1.9,100
241,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,15.99,2.1,430
242,FUR-FU-10002937,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",168.0,3.9,70
